id,bbl,bin,street_number,street_name,borough,zipcode,on_covered_buildings_list,dof_benchmarking_status,site_eui,weather_normalized_site_eui,source_eui,weather_normalized_source_eui,indoor_water_intensity,reported_water_method,energy_star_score,total_ghg_emissions,direct_ghg_emissions,indirect_ghg_emissions,property_floor_area,primary_property_type
9988,3017780089,3398151,41,kosciuszko street,brooklyn,11205,yes,in compliance,0,0,0,0,0,none,0,0,20.8,0,80000,multifamily housing
9989,4006270030,4009147,28-30,34 street,queens,11103,yes,in compliance,81.8,79.1,104.9,102.4,0,none,82,434.8,373.1,61.7,71166,multifamily housing
9990,1017920019,1054700,2485,2 avenue,manhattan,10035,yes,in compliance,58.1,56.5,135.1,133.4,0,none,0,569.3,165.3,404.1,137456,automobile dealership
9991,3014310045,3038521,2027,pacific street,brooklyn,11233,yes,in compliance,61.5,61.5,90.2,90.2,0,none,94,244.3,187.2,57.1,52225,multifamily housing
9992,1016240033,1082901,1710,3 avenue,manhattan,10029,yes,in compliance,83.4,81.1,136,133.8,0,none,41,2646.5,1654.3,992.2,516665,multifamily housing
9993,2028370001,2008015,103,hawkstone street,bronx,10452,yes,in compliance,106.4,0,136.5,0,0,none,50,445.1,381.4,63.7,57000,multifamily housing
9994,2030220031,2010993,2405,marion avenue,bronx,10458,yes,in compliance,0,0,0,0,0,none,0,0,0,71.7,66569,multifamily housing
9995,1008320066,1078654,1226,broadway,manhattan,10001,yes,in compliance,0,0,0,0,0,none,0,0,0,0,135886,multifamily housing
9996,1000210001,1000808,61,broadway,manhattan,10006,yes,in compliance,69.9,67.6,183.3,179,10.84,manual,84,3566.8,0,3566.8,650000,office
9997,2039700035,2115485,1424,parker street,bronx,10462,yes,in compliance,80.4,77.3,136.1,132.8,0,none,56,335.4,198,137.4,67000,multifamily housing
9998,2046240037,2087299,3383,white plains road,bronx,10467,yes,in compliance,66.6,64.6,108.7,106.6,0,none,66,462.1,288.3,173.8,113000,multifamily housing
9999,4025640001,4058916,500,49 street,queens,11378,yes,in compliance,22.2,21.4,30.9,30.1,0,none,97,139.8,94.9,44.9,143840,distribution center
10000,1000717501,1001137,175,water street,manhattan,10038,yes,in compliance,87,86.1,237.9,236.7,1.99,manual,64,4134.9,66.3,4068.6,600000,office
10001,1008200001,1080644,620,avenue of the amer,manhattan,10011,yes,in compliance,88.3,84.2,221.4,217.3,5.35,manual,78,5336.2,1480.1,3856.1,749000,office
10002,1012670022,1034512,15,west 51 street,manhattan,10019,yes,in compliance,68.2,66.6,153.6,151.7,4.18,manual,92,3201.6,0,3201.6,623000,office
10003,1020880047,1062324,622,west 141 street,manhattan,10031,yes,in compliance,129.2,125.1,156,151.9,0,none,3,474.6,421.9,52.8,63576,multifamily housing
10004,1005297501,1008455,656,broadway,manhattan,10012,yes,in compliance,67,63.3,163.2,158.5,0,none,77,488.7,119.7,369,100100,office
10005,1005460040,1008819,699,broadway,manhattan,10003,yes,in compliance,29,29,91,91,0,none,0,207.8,0,207.8,86500,college/university
10006,1006957503,1012345,555,west 23 street,manhattan,10011,yes,in compliance,105.3,101.5,188.9,184.5,0,none,19,1782.1,956.5,825.6,265638,multifamily housing
10007,1010610046,1026728,426,west 52 street,manhattan,10019,yes,in compliance,54.6,52.6,107.4,105.3,0,none,73,217.7,98.2,119.4,60200,multifamily housing
10008,1012030001,1031543,609,columbus avenue,manhattan,10024,yes,in compliance,60.6,58,99.2,96,0,none,68,1171.6,32.7,1139,277350,multifamily housing
10009,1008557501,1016750,43,east 25 street,manhattan,10010,yes,in compliance,64.8,62.4,123.8,120.8,0,none,0,693.3,12.5,680.9,148350,multifamily housing
10010,1000277501,1000827,55,wall street,manhattan,10005,yes,in compliance,117.7,0,197.8,0,0,none,4,3703.6,936.5,2767.1,472035,multifamily housing
10011,1010260055,1089439,250,west 55 street,manhattan,10019,yes,in compliance,0,0,0,0,0,manual,0,2989.4,889.8,2099.5,0,office
10012,4039077501,4446539,84-56,98 street,queens,11421,yes,in compliance,19.4,19.4,40.7,40.6,0,none,100,216.1,84.2,131.9,163592,multifamily housing
10013,3064940037,3170093,785,ocean parkway,brooklyn,11230,yes,in compliance,70,68.9,101.1,99.7,0,none,58,261.1,191.7,69.4,63485,multifamily housing
10014,1013837501,1041253,11,east 68 street,manhattan,10065,yes,in compliance,43.9,43.9,105.5,105.5,0,none,90,349.8,109.7,240.2,100967,multifamily housing
10015,3019050001,3054892,185,hall street,brooklyn,11205,yes,in compliance,98,93.8,132.6,128.4,0,none,42,1531.4,1210.5,320.9,272000,multifamily housing
10016,3019050080,3054896,195,willoughby avenue,brooklyn,11205,yes,in compliance,93.1,88.3,118.3,113.3,0,none,60,1425.2,1204.1,221.1,272000,multifamily housing
10017,1005750048,1009582;1083138,12,west 12 street,manhattan,10011,yes,in compliance,85.6,79.9,154.5,145.2,0,none,0,355.8,189,166.8,65070,other
10018,2058141401,2084360,231,west 246 street,bronx,10471,yes,in compliance,160.8,156.1,303.2,297.9,0,none,1,2948.4,1513.9,1434.5,266800,k-12 school
