"NYC Borough, Block, and Lot (BBL)",Reported NYC Building Identification Numbers (BINs),Street Number,Street Name,Borough,Zip Code,BBL on the Covered Buildings List,DOF Benchmarking Submission Status,Site EUI(kBtu/ft2),Weather Normalized Site EUI(kBtu/ft2),Source EUI(kBtu/ft2),Weather Normalized Source EUI(kBtu/ft2),Municipally Supplied Potable Water - Indoor Intensity (gal/ft²),Reported Water Method,ENERGY STAR Score,Total GHG Emissions(MtCO2e),Direct GHG Emissions(MtCO2e),Indirect GHG Emissions(MtCO2e),Reported Property Floor Area (Building(s)) (ft²),Primary Property Type - Self Selected
1010950035,1027122,653,  11 AVENUE         ,MANHATTAN,10036,Yes,In Compliance ,108.8,106.4,253.1,249,56.76,Manual,31,"1,190.2",345.2,845,"153,363",Hotel
1021390017,1063400,"1,050",RIVERSIDE DRIVE     ,MANHATTAN,10032,Yes,In Compliance ,253.4,246.9,426.7,419,null,None,20,"4,573.1",0,"4,573.1","256,013",Office
1008020056,1015051,122,WEST   27 STREET    ,MANHATTAN,10001,Yes,In Compliance ,74.9,70.1,162.4,158.3,null,None,78,698.5,302.6,395.9,"117,291",Office
1006970031,1012384,259,  10 AVENUE         ,MANHATTAN,10001,Yes,In Compliance ,82.2,80.7,187.7,186.4,11.17,Manual,39,"1,249.9",385.1,864.8,"215,000",K-12 School
1001727501,1001866,374,BROADWAY            ,MANHATTAN,10013,Yes,In Compliance ,77,74.4,115.5,112.5,null,None,79,557.6,390.4,167.2,"121,689",Multifamily Housing
1007819002,1083026,2,PENN PLAZA          ,MANHATTAN,10001,Yes,In Compliance ,81.1,79.1,193.1,190.9,11.92,Manual,79,"10,263.2",0,"10,263.2","1,654,537",Office
1008690034,1017595,90,PARK AVENUE         ,MANHATTAN,10016,Yes,In Compliance ,118.2,116.8,269.6,267.9,26.51,Manual,55,"7,773.2",31.6,"7,741.6","870,877",Office
4018600102,null,    92-59,  59 AVENUE         ,QUEENS,11373,Yes,In Compliance ,63.1,62.6,179,178.9,null,None,80,"1,013.5",99.5,914.1,"204,340",Retail Store
1013030033,1036228,776,   3 AVENUE         ,MANHATTAN,10017,Yes,In Compliance ,80.6,78.6,210.5,207.5,15.35,Manual,79,"3,056.8",104.1,"2,952.8","487,501",Financial Office
1010280029,1024895,888,   7 AVENUE         ,MANHATTAN,10019,Yes,In Compliance ,113.2,110.7,276.4,272.8,32.38,Manual,64,"7,389.9",1.1,"7,388.8","848,010",Office
1012690041,1034532,680,   5 AVENUE         ,MANHATTAN,10019,Yes,In Compliance ,80.4,77.1,181.8,177.6,null,None,77,"1,396.3",0,"1,396.3","230,193",Office
1005990064,1010379,375,HUDSON STREET       ,MANHATTAN,10014,Yes,In Compliance ,67.4,66.1,187.5,185.9,null,None,81,"5,887.4",0,"5,887.4","1,093,934",Office
4093640010,4440535,    89-10,VAN WYCK EXPWY SR W ,QUEENS,11418,Yes,In Compliance ,46.3,null,48.6,null,1535.6,Manual,100,323.4,323.4,0,"131,610",Hospital (General Medical & Surgical)
1012617501,1071414,"1,166",AVENUE OF THE AMER  ,MANHATTAN,10036,Yes,In Compliance ,115.1,114.9,228,227.3,null,None,63,"15,118.2",0,"15,118.2","1,797,825",Office
1013000033,1036195,730,   3 AVENUE         ,MANHATTAN,10017,Yes,In Compliance ,91.5,90,227.7,226.1,null,None,84,"4,445.4",0,"4,445.4","627,731",Office
1012870021,1035471,477,MADISON AVENUE      ,MANHATTAN,10022,Yes,In Compliance ,41.1,null,103.2,null,24.29,Manual,97,980,0,980,"307,384",Office
1013090001,1036476,405,PARK AVENUE         ,MANHATTAN,10022,Yes,In Compliance ,77.1,null,188.8,null,null,None,71,"3,499",0,"3,499","161,427",Office
1008547501,null,11,MADISON AVENUE      ,MANHATTAN,10010,Yes,In Compliance ,77.7,76.2,203.6,201.9,21.96,Manual,90,"15,889.6",221.5,"15,668.1","2,613,986",Office
1010277504,1086135;1024876,230,WEST   56 STREET    ,MANHATTAN,10019,Yes,In Compliance ,79.9,78.9,224.7,223.9,11.54,Manual,71,"4,074.9",432.9,"3,642","651,851",Office
1014637501,1045575,411,EAST   68 STREET    ,MANHATTAN,10065,Yes,In Compliance ,511.9,503.3,"1,101.7",1095.2,null,None,null,"28,370",0,"28,370","743,935",Other
1014610013,1045570,425,EAST   66 STREET    ,MANHATTAN,10065,Yes,In Compliance ,441.4,432.1,932.3,922.7,null,None,null,"10,736.4",0,"10,736.4","327,993",Laboratory
1012950023,1036147,355,LEXINGTON AVENUE    ,MANHATTAN,10017,Yes,In Compliance ,61.9,59.4,159.7,157.1,4.56,Manual,88,"1,239.1",0,"1,239.1","256,272",Office
1000390012,1000880,110,MAIDEN LANE         ,MANHATTAN,10005,Yes,In Compliance ,121.7,118.8,257.7,252.9,14.67,Manual,57,"9,435.6",0,"9,435.6","1,045,088",Office
1013090023,1036482,641,LEXINGTON AVENUE    ,MANHATTAN,10022,Yes,In Compliance ,114.5,112,231.5,228.1,12.79,Manual,61,"3,611.1",0,"3,611.1","429,866",Office
1013050013,1036451,560,LEXINGTON AVENUE    ,MANHATTAN,10022,Yes,In Compliance ,66.4,63.9,181.1,177.6,13.58,Manual,82,"1,733.9",0,"1,733.9","328,910",Office
1000250001,1000821,55,BROAD STREET        ,MANHATTAN,10004,Yes,In Compliance ,106.6,104.6,246.8,243.8,21.34,Manual,65,"3,319.8",0,"3,319.8","410,295",Office
1000100023,1000027,1,WHITEHALL STREET    ,MANHATTAN,10004,Yes,In Compliance ,106.8,103.9,223.3,219.9,11.19,Manual,67,"2,606.4",0,"2,606.4","329,991",Office
1013250001,1038464,845,   3 AVENUE         ,MANHATTAN,10022,Yes,In Compliance ,106.4,104.2,223.8,221.1,11.62,Manual,68,"2,698.7",0,"2,698.7","342,387",Office
1000090029,1000021,24,WHITEHALL STREET    ,MANHATTAN,10004,Yes,In Compliance ,136.2,133.5,281,277.8,9.92,Manual,46,"8,637.6",0,"8,637.6","859,807",Office
1012870028,1076267,41,EAST   51 STREET    ,MANHATTAN,10022,Yes,In Compliance ,110.3,108.4,311.3,309,18.31,Manual,82,"3,264.6",62.2,"3,202.3","370,441",Office
1007860001,1083624,520,   8 AVENUE         ,MANHATTAN,10018,Yes,In Compliance ,76,71.9,179.3,174.6,23.93,Manual,80,"4,711.5","1,475.8","3,235.7","814,025",Office
1000477501,1001026,120,BROADWAY            ,MANHATTAN,10005,Yes,In Compliance ,66.2,63.4,171.4,167.8,11.78,Manual,88,"9,874.1",110.9,"9,763.2","1,910,503",Office
1012780069,1035365,529,   5 AVENUE         ,MANHATTAN,10017,Yes,In Compliance ,85.3,82.9,230.4,228,null,None,76,"1,682.7",0,"1,682.7","249,187",Office
1012930014,1086164,19,EAST   57 STREET    ,MANHATTAN,10022,Yes,In Compliance ,109.8,107.2,291.2,288,null,None,44,871,0,871,"100,684",Office
1012910028,1035771,65,EAST   55 STREET    ,MANHATTAN,10022,Yes,In Compliance ,81.4,79.4,217.4,215.3,null,None,76,"3,981.2",0,"3,981.2","619,631",Office
1012810069,1035401,553,   5 AVENUE         ,MANHATTAN,10017,Yes,In Compliance ,68.3,67.1,193,191.9,null,None,81,"1,332.9",0,"1,332.9","243,294",Office
1010210026,1024795,750,   7 AVENUE         ,MANHATTAN,10019,Yes,In Compliance ,78.6,76.8,203.3,201.4,21.68,Manual,79,"3,952.1",16.8,"3,935.4","643,301",Office
1013080033,1036473,880,   3 AVENUE         ,MANHATTAN,10022,Yes,In Compliance ,66.6,64.3,188.6,185.7,null,None,63,760.8,0,760.8,"142,235",Office
1010287501,1070014,235,WEST   56 STREET    ,MANHATTAN,10019,Yes,In Compliance ,"51,265",48382.1,"61,749.8",58282,null,None,1,"2,097,196.5",75.5,"2,097,121","616,000",Multifamily Housing
1012590001,1034202,"1,120",AVENUE OF THE AMER  ,MANHATTAN,10036,Yes,In Compliance ,79.5,null,169.3,null,null,None,83,"3,682",1.2,"3,680.8","623,044",Office
1008820003,1018123,369,PARK AVENUE SOUTH   ,MANHATTAN,10016,Yes,In Compliance ,167.5,164.1,310.7,307.9,null,None,25,"1,285.1",716.7,568.4,"104,232",Office
1005980058,1010378,341,HUDSON STREET       ,MANHATTAN,10014,Yes,In Compliance ,97.8,96,247,245.2,null,None,71,"6,714","1,495.1","5,219","909,266",Office
1012890014,1035727,512,MADISON AVENUE      ,MANHATTAN,10022,Yes,In Compliance ,84.3,null,229.8,null,12.98,Manual,74,"6,846.1",142.1,"6,704.1","1,027,741",Financial Office
1000627501,1001068,1,LIBERTY PLAZA       ,MANHATTAN,10006,Yes,In Compliance ,107.6,106.1,261.3,259.4,15.24,Manual,84,"19,360.4",91.4,"19,269","2,342,856",Office
1010497501,1026318,35,COLUMBUS CIRCLE     ,MANHATTAN,10019,Yes,In Compliance ,154.9,null,362.9,null,null,None,null,"31,804.9","1,406","30,398.8","2,722,590",Office
1000047501,1000005,1,WATER STREET        ,MANHATTAN,10004,Yes,In Compliance ,149,149,358.8,358.8,18.99,Manual,61,"28,473.3",0.1,"28,473.2","2,428,325",Office
1013010001,1036205,245,PARK AVENUE         ,MANHATTAN,10017,Yes,In Compliance ,117.5,115.2,273.9,271.1,15.78,Manual,77,"14,211",59.9,"14,151.1","1,592,125",Office
1009960029,1080824,"1,133",AVENUE OF THE AMER  ,MANHATTAN,10036,Yes,In Compliance ,110.8,108.7,243.8,241.2,null,None,76,"8,112.3",0,"8,112.3","977,035",Office
1012760058,1085972,300,MADISON AVENUE      ,MANHATTAN,10017,Yes,In Compliance ,124.9,122.9,329.9,328.1,1.86,Manual,79,"10,512.8",42.6,"10,470.1","1,071,012",Office
1000160120,1000057,200,LIBERTY STREET      ,MANHATTAN,10281,Yes,In Compliance ,113.6,112.6,230.9,229.5,null,None,79,"14,138.4",25.8,"14,112.6","1,485,610",Office
1000160125,1000058,225,LIBERTY STREET      ,MANHATTAN,10280,Yes,In Compliance ,93,91.6,191.3,189.6,8.54,Manual,75,"14,211.1",0,"14,211.1","2,158,767",Office
5024000210,null,140,MARSH AVENUE        ,STATEN ISLAND       ,10314,Yes,In Compliance ,53.2,52.4,150.2,149.3,null,None,76,747.7,77.4,670.3,"179,200",Retail Store
2051410003,null,100,BAYCHESTER AVENUE   ,BRONX               ,10475,Yes,In Compliance ,56.9,55.8,157.3,156.2,null,None,85,734,90,644,"166,320",Retail Store
1000160150,1000060,250,VESEY STREET        ,MANHATTAN,10281,Yes,In Compliance ,10.4,9,171.3,170.8,15.02,Manual,80,"6,100.2",0,"6,100.2","1,981,198",Office
1007830070,1014387,206,WEST   34 STREET    ,MANHATTAN,10001,Yes,In Compliance ,165.1,164.4,264.3,263.7,30.39,Manual,59,"26,439.2","9,823.6","16,615.6","2,486,762",Office
1009970029,1022631,"1,155",AVENUE OF THE AMER  ,MANHATTAN,10036,Yes,In Compliance ,54,54.2,166.1,166.8,null,None,90,"3,054.3",0,"3,054.3","686,902",Office
1013150001,1037545,655,   3 AVENUE         ,MANHATTAN,10017,Yes,In Compliance ,85.3,83.4,186.8,184.1,null,None,86,"2,453.3",0,"2,453.3","384,432",Office
1009990019,1022667,114,WEST   47 STREET    ,MANHATTAN,10036,Yes,In Compliance ,67.1,63.2,164.6,159.4,null,None,84,"2,961.2",0,"2,961.2","572,369",Financial Office
1013190047,1037596,733,   3 AVENUE         ,MANHATTAN,10017,Yes,In Compliance ,100.6,96.6,220.7,215,null,None,75,"2,731.4",0,"2,731.4","362,578",Office
1009950005,1085682,"1,472",BROADWAY            ,MANHATTAN,10036,Yes,In Compliance ,114.7,113.6,287,285.8,null,None,61,"13,661.8","2,557.4","11,104.4","1,601,977",Office
1013160001,1037549; 1037550,675,   3 AVENUE         ,MANHATTAN,10017,Yes,In Compliance ,97.7,95.2,204.3,201.5,null,None,66,"5,436",0,"5,436","752,426",Office
1012980023,1036162,425,LEXINGTON AVENUE    ,MANHATTAN,10017,Yes,In Compliance ,85.3,82.7,225.9,221.5,27.06,Manual,72,"4,982.7",56.2,"4,926.5","743,915",Office
1012860035,1035464,320,PARK AVENUE         ,MANHATTAN,10022,Yes,In Compliance ,93,91.3,248.2,245.5,null,None,79,"5,298.3",0,"5,298.3","721,979",Financial Office
1000480001,1001027,140,BROADWAY            ,MANHATTAN,10005,Yes,In Compliance ,132.9,129,269.1,264.5,0,Manual,68,"12,402.5",26.5,"12,375.9","1,272,119",Office
1008560024,1016880,380,PARK AVENUE SOUTH   ,MANHATTAN,10010,Yes,In Compliance ,100.6,96.7,215.7,211.3,null,None,78,"11,334.2",0,"11,334.2","1,513,807",Office
1000350010,1000868,111,WALL STREET         ,MANHATTAN,10005,Yes,In Compliance ,66.1,63.6,176.5,173.4,11.69,Manual,null,"4,675.5",87.2,"4,588.3","893,647",Office
1001860001,1082816,107,NORTH MOORE STREET  ,MANHATTAN,10013,Yes,In Compliance ,78.8,78.8,202.6,202.6,17.34,Manual,78,"11,474.5",131.3,"11,343.2","1,869,756",Office
1013137501,1086160;1037168;1037169;1037171,151,EAST   58 STREET    ,MANHATTAN,10022,Yes,In Compliance ,142.7,141,396.6,395,28.13,Manual,40,"16,669.8",152,"16,517.9","1,466,016",Office
3064910011,null,"1,608",SHORE PARKWAY       ,BROOKLYN            ,11214,Yes,In Compliance ,65.6,64,168.4,166,0.03,Manual,68,656.7,128.5,528.2,"133,882",Retail Store
5012500090,null,"2,161",FOREST AVENUE       ,STATEN ISLAND       ,10303,Yes,In Compliance ,43.4,43,125.4,125,5.57,Manual,82,322.8,8.9,314,"91,047",Retail Store
1012930035,1036067,460,PARK AVENUE         ,MANHATTAN,10022,Yes,In Compliance ,82.6,79.2,192.4,187.8,null,None,75,"2,138.3",0,"2,138.3","340,574",Office
1013140015,1087632,222,EAST   41 STREET    ,MANHATTAN,10017,Yes,In Compliance ,73.5,71.7,196.8,194.2,12.81,Manual,83,"2,233.7",0,"2,233.7","384,607",Office
1009940001,1086069,"1,451",BROADWAY            ,MANHATTAN,10036,Yes,In Compliance ,62.2,61.8,178,178,null,None,82,"5,936.8",0,"5,936.8","1,184,834",Office
1013070023,1036467,599,LEXINGTON AVENUE    ,MANHATTAN,10022,Yes,In Compliance ,68.1,68.1,213.8,213.9,22.95,Manual,75,"6,301.8",0,"6,301.8","1,115,877",Office
1008530002,1088749,1,MADISON AVENUE      ,MANHATTAN,10010,Yes,In Compliance ,102,99.6,255.4,252.9,18.48,Manual,76,"9,280.4",112,"9,168.5","1,176,911",Office
1008610044,1080788;1080789,462,PARK AVENUE SOUTH   ,MANHATTAN,10016,Yes,In Compliance ,88.1,null,197.7,null,null,None,76,"1,998.5",765,"1,233.4","292,061",Office
1013350005,1357969,320,EAST   43 STREET    ,MANHATTAN,10017,Yes,In Compliance ,81.4,77.9,185.3,180.9,5.14,Manual,null,"1,760.5",29.5,"1,730.9","287,400",Office
1010140033,1024686,3,TIMES SQUARE        ,MANHATTAN,10036,Yes,In Compliance ,141,139.7,412.2,410.6,24.68,Manual,45,"9,625.8",0,"9,625.8","841,709",Office
1012670041,1034517,650,   5 AVENUE         ,MANHATTAN,10019,Yes,In Compliance ,83,81.3,198.7,197,null,None,72,"2,490.4",0,"2,490.4","391,942",Office
1012580021,1034198,11,WEST   42 STREET    ,MANHATTAN,10036,Yes,In Compliance ,239.9,237,282.6,279.7,27.74,Manual,42,"12,469.4","11,321.7","1,147.7","921,510",Office
1012850036,1081146,300,PARK AVENUE         ,MANHATTAN,10022,Yes,In Compliance ,68.2,66.3,154.5,152.3,null,None,85,"3,988.5",57.2,"3,931.4","777,658",Office
1012970023,1036156,395,LEXINGTON AVENUE    ,MANHATTAN,10017,Yes,In Compliance ,73.7,70.1,175.3,170,null,None,85,"7,233.2",0,"7,233.2","1,283,579",Office
1012970033,1036161,666,   3 AVENUE         ,MANHATTAN,10017,Yes,In Compliance ,76.9,76.9,198,198,null,None,75,"4,622.3",0,"4,622.3","769,421",Office
1012809010,1085735,200,PARK AVENUE         ,MANHATTAN,10017,Yes,In Compliance ,133.4,131,298,295.1,null,None,53,"29,741.8",430.3,"29,311.6","2,973,969",Office
1010087503,1076177,150,WEST   56 STREET    ,MANHATTAN,10019,Yes,In Compliance ,54,53.8,169.4,169,null,None,86,"1,671.8",0,"1,671.8","373,640",Office
4000790030,4307108,    25-01,JACKSON AVENUE      ,QUEENS,11101,Yes,In Compliance ,72.9,71,226.6,220.6,22.06,Manual,66,"8,644.5",85.8,"8,558.6","1,436,950",Office
1013060001,1036460,345,PARK AVENUE         ,MANHATTAN,10022,Yes,In Compliance ,153.9,152.3,317.9,316.2,18.78,Manual,39,"20,898.6",80.1,"20,818.5","1,842,494",Office
1014430020,1044756,353,EAST   68 STREET    ,MANHATTAN,10065,Yes,In Compliance ,129.6,127.7,318.6,317.1,null,None,10,602.4,0,602.4,"60,274",Medical Office
1012820034,1035405,250,PARK AVENUE         ,MANHATTAN,10017,Yes,In Compliance ,71.3,69.8,162.6,160.8,null,None,79,"2,911",0,"2,911","540,355",Office
1000370008,1000872,110,WALL STREET         ,MANHATTAN,10005,Yes,In Compliance ,33.2,28.5,50.2,44.6,0.93,Manual,100,671.3,0,671.3,"292,627",Office
1012840021,1035439,413,MADISON AVENUE      ,MANHATTAN,10017,Yes,In Compliance ,55.9,54.6,162.9,161,14.11,Manual,89,"1,074.9",0,"1,074.9","237,258",Office
1008550037,1016749,35,MADISON AVENUE      ,MANHATTAN,10010,Yes,In Compliance ,123,118.2,241.2,235.5,16.33,Manual,55,"4,714.1",71,"4,643","527,815",Office
1000840036,1086510,7,WORLD TRADE CENTER  ,MANHATTAN,10007,Yes,In Compliance ,94.2,null,236.6,null,null,None,69,"12,646.9",94.5,"12,552.4","1,731,994",Office
1010890001,1085803,1,RIVER PLACE         ,MANHATTAN,10036,Yes,In Compliance ,134.6,131.3,227.3,223.7,31.11,Manual,3,"7,540.9","4,501.2","3,039.7","887,879",Multifamily Housing
1000350001,1000867,77,FRONT STREET        ,MANHATTAN,10005,Yes,In Compliance ,80.9,78.2,211.9,208.7,null,None,71,"7,311.7",0,"7,311.7","1,151,269",Office
1012860021,1035462,455,MADISON AVENUE      ,MANHATTAN,10022,Yes,In Compliance ,141.3,139.2,218.2,216.3,225.56,Manual,45,"10,815","4,150.2","6,664.8","1,200,000",Hotel
1013049001,1084771,301,PARK AVENUE         ,MANHATTAN,10022,Yes,In Compliance ,141.2,138.3,273.2,270.4,80.03,Manual,23,"16,329.8",386,"15,943.8","1,600,000",Hotel
1012770014,1035348,330,MADISON AVENUE      ,MANHATTAN,10017,Yes,In Compliance ,78.1,76.2,210.2,207.9,12.96,Manual,82,"5,309.8",0,"5,309.8","859,682",Office
1013280001,1038570,909,   3 AVENUE         ,MANHATTAN,10022,Yes,In Compliance ,97,95.6,223,221.4,13.89,Manual,83,"5,816.3",0,"5,816.3","791,632",Office
1012670001,1034510,"1,280",AVENUE OF THE AMER  ,MANHATTAN,10119,Yes,In Compliance ,101.9,101.4,234.6,234.1,21.19,Manual,70,"16,126.9",95.3,"16,031.6","2,091,434",Office
1008070001,1015175,393,   7 AVENUE         ,MANHATTAN,10001,Yes,In Compliance ,79.4,77.7,186.5,184.6,12.64,Manual,81,"7,093.6",0,"7,093.6","1,172,851",Office
1005540001,1008952,770,BROADWAY            ,MANHATTAN,10003,Yes,In Compliance ,68.2,66.8,180.4,178.9,11.85,Manual,86,"6,200.4",147.8,"6,052.6","1,160,927",Office
1013120041,1036915,150,EAST   58 STREET    ,MANHATTAN,10022,Yes,In Compliance ,96.1,93.8,198.6,196,13.92,Manual,78,"4,066.4",0,"4,066.4","573,571",Office
1012670034,1034516,640,   5 AVENUE         ,MANHATTAN,10019,Yes,In Compliance ,82.2,80.3,228,225.8,21.15,Manual,72,"2,340",0,"2,340","356,686",Office
1012870033,1035473,350,PARK AVENUE         ,MANHATTAN,10022,Yes,In Compliance ,126.4,126.4,272,272,17.23,Manual,52,"5,182.1",0,"5,182.1","550,317",Office
1000230050,1000816,20,BROAD STREET        ,MANHATTAN,10004,Yes,In Compliance ,105.6,103.3,242.5,239.8,14.27,Manual,79,"3,788.6",0,"3,788.6","473,890",Office
1010070005,1069590,153,WEST   54 STREET    ,MANHATTAN,10019,Yes,In Compliance ,114.3,112.7,232.6,231.1,48.36,Manual,28,"4,773.1",225.1,"4,548","574,241",Hotel
1013000001,1036185,230,PARK AVENUE         ,MANHATTAN,10017,Yes,In Compliance ,99.8,97.3,212.6,209.9,null,None,78,"9,588.2",65.5,"9,522.7","1,294,808",Office
1012930026,1036061,597,MADISON AVENUE      ,MANHATTAN,10022,Yes,In Compliance ,80.1,76.3,187.1,182.9,18.85,Manual,null,"2,034.5",0,"2,034.5","333,984",Office
1010070029,1083719,120,WEST   55 STREET    ,MANHATTAN,10019,Yes,In Compliance ,149.5,148.2,342.9,341.6,null,None,32,"21,132.6",0,"21,132.6","1,866,766",Office
1009200012,1082153,605,   3 AVENUE         ,MANHATTAN,10016,Yes,In Compliance ,91.5,89.2,200.3,196.8,null,None,78,"7,232.8",0,"7,232.8","1,056,389",Office
1010220043,1024812,"1,631",BROADWAY            ,MANHATTAN,10019,Yes,In Compliance ,101,99.4,220.9,218.6,18.99,Manual,71,"21,445.4",0,"21,445.4","2,837,932",Office
1013090032,1081162,900,   3 AVENUE         ,MANHATTAN,10022,Yes,In Compliance ,64.4,61.1,177,170.2,9.88,Manual,82,"3,031.7",0,"3,031.7","591,315",Office
1010050001,1023159,801,   7 AVENUE         ,MANHATTAN,10019,Yes,In Compliance ,136.4,134.5,263.8,262,64.86,Manual,23,"11,123.2","1,847.6","9,275.6","1,165,000",Hotel
1012710038,1077363,712,   5 AVENUE         ,MANHATTAN,10019,Yes,In Compliance ,68.6,67.3,178.8,177.4,12.58,Manual,80,"3,092.2",0,"3,092.2","574,857",Office
1013060033,1036462,850,   3 AVENUE         ,MANHATTAN,10022,Yes,In Compliance ,82.2,80.6,193.1,191.2,13.31,Manual,82,"3,696.4",0,"3,696.4","590,518",Office
1012930069,1036079,745,   5 AVENUE         ,MANHATTAN,10022,Yes,In Compliance ,84.6,82.2,221.6,218.6,null,None,74,"3,520.2",0,"3,520.2","530,303",Office
1009980029,1076173,"1,177",AVENUE OF THE AMER  ,MANHATTAN,10036,Yes,In Compliance ,87.4,null,246.4,null,null,None,60,"6,995.8",19,"6,976.9","997,901",Office
4041430001,4462119,   135-05,  20 AVENUE         ,QUEENS,11356,Yes,In Compliance ,88.7,85,222.9,218.7,13.46,Manual,80,918.4,198.1,720.4,"139,899",Retail Store
3044520520,3348833,519,GATEWAY DRIVE       ,BROOKLYN            ,11239,Yes,In Compliance ,109.9,107.4,226.1,223.4,12,Manual,77,"1,104.4",450,654.4,"148,939",Retail Store
2032450060,2109471,300,WEST KINGSBRIDGE RD ,BRONX               ,10463,Yes,In Compliance ,99.6,97.6,263.4,262.2,2.14,Manual,null,"1,186.7",197.3,989.5,"157,011",Retail Store
5074810001,5149742,"2,900",VETERANS ROAD WEST  ,STATEN ISLAND       ,10309,Yes,In Compliance ,84.9,83.6,213.2,211.9,9.84,Manual,79,903.4,195.5,707.9,"143,876",Retail Store
1008620029,1017019,2,PARK AVENUE         ,MANHATTAN,10016,Yes,In Compliance ,76.5,73.6,191.3,188.1,null,None,77,"5,434.3",0,"5,434.3","916,666",Office
1000240001,1000817,60,BROAD STREET        ,MANHATTAN,10004,Yes,In Compliance ,101.1,97.9,227.9,222.7,null,None,72,"7,607.5",0,"7,607.5","998,035",Office
1013137502,1087267,130,EAST   59 STREET    ,MANHATTAN,10022,Yes,In Compliance ,51.3,49.1,137.1,133.7,null,None,89,"1,091.8",0,"1,091.8","269,470",Office
1009627501,0,433,EAST 30 STREET      ,MANHATTAN,10016,Yes,In Compliance ,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL
1009620080,1085694;1081693;1081694;1085695;1081692;1085588;1087297;1088433;1805035,522,   1 AVENUE         ,MANHATTAN,10016,Yes,In Compliance ,228.4,225.2,494.9,491.8,null,None,21,"37,954.9",74.4,"37,880.5","2,227,728",Hospital (General Medical & Surgical)
1012900021,1035747,535,MADISON AVENUE      ,MANHATTAN,10022,Yes,In Compliance ,83,80.9,215.7,212.7,null,None,74,"3,077.7",0,"3,077.7","473,329",Financial Office
1013600001,1040072,866,UNITED NATIONS PLAZA,MANHATTAN,10017,Yes,In Compliance ,92.2,90.9,199.3,197.2,null,None,79,"2,587.6",0,"2,587.6","376,326",Office
1012900001,1035741,689,   5 AVENUE         ,MANHATTAN,10022,Yes,In Compliance ,128.6,123.3,305.5,299.1,32.22,Manual,22,884,0,884,"89,978",Office
1010060013,1076175,141,WEST   53 STREET    ,MANHATTAN,10019,Yes,In Compliance ,70.2,68.8,186.5,185.1,6.41,Manual,81,"4,948.9",111.1,"4,837.8","898,743",Office
1013377502,1038758,787,   1 AVENUE         ,MANHATTAN,10017,Yes,In Compliance ,146.4,null,297.7,null,15.02,Manual,40,"6,292.8",95.1,"6,197.7","587,000",Office
1013370014,1038757,323,EAST   44 STREET    ,MANHATTAN,10017,Yes,In Compliance ,93.4,90.3,200.5,197.1,24.87,Manual,67,"3,929.2",0,"3,929.2","565,000",Office
1012920015,1035778,590,MADISON AVENUE      ,MANHATTAN,10022,Yes,In Compliance ,90.5,88.3,218.8,216.5,12.44,Manual,60,"14,801.3",0,"14,801.3","1,196,354",Office
1012597502,1034212,522,   5 AVENUE         ,MANHATTAN,10036,Yes,In Compliance ,68,66.7,180.5,179,12.49,Manual,87,"2,927.5",26.5,"2,901","547,349",Financial Office
1012687501,1071418,49,WEST   52 STREET    ,MANHATTAN,10019,Yes,In Compliance ,90.6,89,254.1,251.9,18.24,Manual,75,"6,007.7",288.8,"5,719","837,431",Office
1010050029,1023161,"1,301",AVENUE OF THE AMER  ,MANHATTAN,10019,Yes,In Compliance ,113.6,113.3,210,209.4,11.51,Manual,68,"15,841.8","3,775.7","12,066.1","2,043,271",Office
1019630060,1087900,"1,255",AMSTERDAM AVENUE    ,MANHATTAN,10027,Yes,In Compliance ,57.1,null,59.8,null,null,None,100,435.5,435.5,0,"139,392",Office
1012890052,1035734,527,MADISON AVENUE      ,MANHATTAN,10022,Yes,In Compliance ,61.7,59.6,193.7,187.1,8.18,Manual,78,"1,260.7",0,"1,260.7","246,476",Office
1007680050,1013884,220,WEST   19 STREET    ,MANHATTAN,10011,Yes,In Compliance ,70.8,68.9,171.5,169.5,18.55,Manual,75,566.3,142.2,424.2,"110,032",Office
4004350001,4005157,    24-01,  44 ROAD           ,QUEENS,11101,Yes,In Compliance ,90.6,88.6,228.5,226.8,15.27,Manual,null,"1,848.3",391.1,"1,457.2","275,252",Office
1008330011,1015805,"1,240",BROADWAY            ,MANHATTAN,10001,Yes,In Compliance ,100.4,97.9,208.6,205.5,null,None,80,"5,281.9",229.3,"5,052.6","719,481",Office
1013127501,1036926,117,EAST   57 STREET    ,MANHATTAN,10022,Yes,In Compliance ,null,null,null,null,null,None,null,null,17.3,null,"521,777",Multifamily Housing
1013940001,1041900,505,PARK AVENUE         ,MANHATTAN,10022,Yes,In Compliance ,38.8,38.9,121.7,122.3,18.8,Manual,97,727.7,0,727.7,"226,421",Office
4051650001,4439898,    56-45,MAIN STREET         ,QUEENS,11355,Yes,In Compliance ,295.3,292.1,555.1,550.6,null,None,53,"11,585.9","5,827.4","5,758.5","590,371",Hospital (General Medical & Surgical)
4017870020,4862101,   123-01,ROOSEVELT AVENUE    ,QUEENS,11368,Yes,In Compliance ,52.4,52.6,164.4,165.2,null,None,null,"5,397.5",0,"5,397.5","1,242,968",Other - Entertainment/Public Assembly
