"NYC Borough, Block, and Lot (BBL)",Reported NYC Building Identification Numbers (BINs),Street Number,Street Name,Borough,Zip Code,BBL on the Covered Buildings List,DOF Benchmarking Submission Status,Site EUI(kBtu/ft2),Weather Normalized Site EUI(kBtu/ft2),Source EUI(kBtu/ft2),Weather Normalized Source EUI(kBtu/ft2),Municipally Supplied Potable Water - Indoor Intensity (gal/ft²),Reported Water Method,ENERGY STAR Score,Total GHG Emissions(MtCO2e),Direct GHG Emissions(MtCO2e),Indirect GHG Emissions(MtCO2e),Reported Property Floor Area (Building(s)) (ft²),Primary Property Type - Self Selected
1007990064,1014965,142,WEST   24 STREET    ,MANHATTAN,10011,Yes,In Compliance ,0,null,0,null,null,None,null,0,0,0,"66,049",Office
1011130013,1027188,17,WEST   60 STREET    ,MANHATTAN,10023,Yes,In Compliance ,280.3,null,288.1,null,null,None,null,"1,901.5","1,883.8",17.7,"91,332",Office
3023150014,3061859,525,UNION AVENUE        ,BROOKLYN            ,11211,Yes,In Compliance ,13.7,12.8,23.4,22.4,23.63,ABS,100,66.5,38.7,27.7,"77,580",Multifamily Housing
1017490024,1081382,55,EAST  124 STREET    ,MANHATTAN,10035,Yes,In Compliance ,111.9,108.5,245.4,242.7,null,None,null,568.5,197.2,371.3,"73,179",College/University
1018770042,1056622,234,WEST  106 STREET    ,MANHATTAN,10025,Yes,In Compliance ,71.4,null,93.2,null,33.3,ABS,96,413.7,350.2,63.5,"77,574",Multifamily Housing
2038190001,2092875,"2,200",POWELL AVENUE       ,BRONX               ,10462,Yes,In Compliance ,90.9,null,125.9,null,null,None,null,860.5,695.8,164.7,"125,000",Multifamily Housing
1012907502,1035762,2,EAST   55 STREET    ,MANHATTAN,10022,Yes,In Compliance ,"89,841.3",88056.3,"108,212.8",106065.8,null,None,1,"2,553,575.3",266.3,"2,553,309","428,000",Hotel
4033217501,4079313,    83-85, 116 STREET         ,QUEENS,11418,Yes,In Compliance ,94.8,96.3,130.3,131.8,null,None,71,402.1,326.8,75.3,"56,000",Multifamily Housing
3001320001,3000246,157,FLATBUSH AVENUE EXT ,BROOKLYN            ,11201,Yes,In Compliance ,450.1,447.8,"1,339.5",1337,55.5,Manual,null,"7,835.8",406.1,"7,429.7","216,000",Other
4053740016,4121263,   144-30,SANFORD AVENUE      ,QUEENS,11355,Yes,In Compliance ,99.1,null,117,null,null,None,73,881.8,804.4,77.4,"118,992",Multifamily Housing
